age,female_pop,male_pop,asfr,death_prob_female,death_prob_male,mig_female,mig_male
0,5773989.512,6495738.201,0,0.00138,0.00166,-1320.489254,-1437.069637
1,6928787.414,7794885.841,0,0.00035,0.00042,-1320.489254,-1437.069637
2,7361836.628,8227935.055,0,0.00023,0.0003,-1320.489254,-1437.069637
3,8805334.006,9815782.17,0,0.00017,0.00022,-1320.489254,-1437.069637
4,8660984.268,9671432.433,0,0.00016,0.0002,-1320.489254,-1437.069637
5,7939235.579,8949683.744,0,0.00014,0.00017,-1771.991629,-1784.810525
6,8949683.744,10104481.65,0,0.00013,0.00016,-1771.991629,-1784.810525
7,8660984.268,9960131.908,0,0.00011,0.00015,-1771.991629,-1784.810525
8,9238383.219,10537530.86,0,0.00011,0.00015,-1771.991629,-1784.810525
9,8516634.53,9671432.433,0,0.0001,0.00015,-1771.991629,-1784.810525
10,8227935.055,9527082.695,0,0.00012,0.00016,-1388.028381,-1320.521394
11,8372284.792,9671432.433,0,0.00013,0.00017,-1388.028381,-1320.521394
12,8227935.055,9527082.695,0,0.00015,0.00019,-1388.028381,-1320.521394
13,7939235.579,9094033.481,0,0.00018,0.00025,-1388.028381,-1320.521394
14,7650536.103,8805334.006,0,0.00018,0.0003,-1388.028381,-1320.521394
15,7217486.89,8372284.792,0.00072,0.00019,0.00033,-2174.329492,-1916.506728
16,7217486.89,8372284.792,0.00204,0.0002,0.00035,-2174.329492,-1916.506728
17,6640087.939,7794885.841,0.00455,0.0002,0.00036,-2174.329492,-1916.506728
18,6928787.414,7939235.579,0.00902,0.00021,0.00039,-2174.329492,-1916.506728
19,6928787.414,7939235.579,0.01488,0.0002,0.00038,-2174.329492,-1916.506728
20,7073137.152,8083585.317,0.0259,0.0002,0.00042,-5641.503547,-4648.602832
21,6495738.201,7506186.366,0.04028,0.0002,0.00042,-5641.503547,-4648.602832
22,7361836.628,8372284.792,0.05516,0.00022,0.00043,-5641.503547,-4648.602832
23,7361836.628,8372284.792,0.07002,0.00021,0.00045,-5641.503547,-4648.602832
24,7506186.366,8516634.53,0.08239,0.00022,0.00046,-5641.503547,-4648.602832
25,8227935.055,9238383.219,0.09265,0.00022,0.00049,-6092.012699,-4718.134454
26,8227935.055,9094033.481,0.1022,0.00022,0.00051,-6092.012699,-4718.134454
27,9094033.481,9960131.908,0.1056,0.00023,0.00053,-6092.012699,-4718.134454
28,9527082.695,10393181.12,0.10195,0.00024,0.00056,-6092.012699,-4718.134454
29,10248831.38,11114929.81,0.09335,0.00024,0.00056,-6092.012699,-4718.134454
30,13135826.14,14001924.57,0.08213,0.00026,0.00061,-5484.988241,-4356.404466
31,12558427.19,13424525.62,0.07414,0.00028,0.00065,-5484.988241,-4356.404466
32,11692328.76,12558427.19,0.06334,0.00028,0.00069,-5484.988241,-4356.404466
33,12847126.66,13713225.09,0.05484,0.00033,0.00078,-5484.988241,-4356.404466
34,10970580.07,11836678.5,0.04709,0.00035,0.00083,-5484.988241,-4356.404466
35,9527082.695,10393181.12,0.03976,0.00037,0.0009,-3948.886946,-3391.984309
36,9527082.695,10393181.12,0.03282,0.0004,0.00099,-3948.886946,-3391.984309
37,9382732.957,10248831.38,0.02578,0.00043,0.00109,-3948.886946,-3391.984309
38,10681880.6,11547979.02,0.02032,0.00046,0.00118,-3948.886946,-3391.984309
39,9094033.481,9960131.908,0.01543,0.00052,0.00136,-3948.886946,-3391.984309
