age,female_pop,male_pop,asfr,death_prob_female,death_prob_male,mig_female,mig_male,fertility_annual_factor,fertility_decline_years
0,3576907.133,3999697.556,0,0.002744739,0.002744739,-1320.489254,-1437.069637,0.975,5
1,4124279.149,4594034.544,0,0.00069613,0.00069613,-1320.489254,-1437.069637,,
2,4296124.658,4780727.519,0,0.000457457,0.000457457,-1320.489254,-1437.069637,,
3,4864497.72,5406402.766,0,0.00033812,0.00033812,-1320.489254,-1437.069637,,
4,4988986.908,5603131.196,0,0.000318231,0.000318231,-1320.489254,-1437.069637,,
5,4587754.295,5195631.739,0,0.000278452,0.000278452,-1771.991629,-1784.810525,,
6,4700695.329,5361143.023,0,0.000258562,0.000258562,-1771.991629,-1784.810525,,
7,4893487.624,5582980.03,0,0.000218784,0.000218784,-1771.991629,-1784.810525,,
8,5025373.418,5768123.61,0,0.000218784,0.000218784,-1771.991629,-1784.810525,,
9,5162558.925,5952946.696,0,0.000198894,0.000198894,-1771.991629,-1784.810525,,
10,5283319.457,6116498.936,0,0.000238673,0.000238673,-1388.028381,-1320.521394,,
11,5305530.724,6129479.646,0,0.000258562,0.000258562,-1388.028381,-1320.521394,,
12,5328206.9,6152480.508,0,0.000298341,0.000298341,-1388.028381,-1320.521394,,
13,5300773.689,6128224.462,0,0.000358009,0.000358009,-1388.028381,-1320.521394,,
14,5254689.59,6082828.67,0,0.000358009,0.000358009,-1388.028381,-1320.521394,,
15,5226091.354,6088396.428,0.0004716,0.000377899,0.000377899,-2174.329492,-1916.506728,,
16,5246855.535,6155086.228,0.0013362,0.000397788,0.000397788,-2174.329492,-1916.506728,,
17,5341254.443,6277576.347,0.00298025,0.000397788,0.000397788,-2174.329492,-1916.506728,,
18,5494425.585,6440565.67,0.0059081,0.000417678,0.000417678,-2174.329492,-1916.506728,,
19,5652293.2,6505789.474,0.0097464,0.000397788,0.000397788,-2174.329492,-1916.506728,,
20,5739893.853,6550366.865,0.0169645,0.000397788,0.000397788,-5641.503547,-4648.602832,,
21,6424597.23,7290632.936,0.0263834,0.000397788,0.000397788,-5641.503547,-4648.602832,,
22,6960648.061,7882237.865,0.0361298,0.000437567,0.000437567,-5641.503547,-4648.602832,,
23,7204453.416,8126623.453,0.0458631,0.000417678,0.000417678,-5641.503547,-4648.602832,,
24,7733602.269,8663181.262,0.05396545,0.000437567,0.000437567,-5641.503547,-4648.602832,,
25,7679812.332,8615213.474,0.06068575,0.000437567,0.000437567,-6092.012699,-4718.134454,,
26,8122699.114,9050311.353,0.066941,0.000437567,0.000437567,-6092.012699,-4718.134454,,
27,8505028.866,9413365.949,0.069168,0.000457457,0.000457457,-6092.012699,-4718.134454,,
28,9041875.036,9982230.04,0.06677725,0.000477346,0.000477346,-6092.012699,-4718.134454,,
29,10088650.08,11082382.11,0.06114425,0.000477346,0.000477346,-6092.012699,-4718.134454,,
30,10714863.89,11596697.19,0.05379515,0.000517125,0.000517125,-5484.988241,-4356.404466,,
31,11341384.27,12086513.22,0.0485617,0.000556904,0.000556904,-5484.988241,-4356.404466,,
32,11085929.4,11751085.16,0.0414877,0.000556904,0.000556904,-5484.988241,-4356.404466,,
33,12283321.81,13022777.78,0.0359202,0.000656351,0.000656351,-5484.988241,-4356.404466,,
34,11675103.06,12365101.65,0.03084395,0.00069613,0.00069613,-5484.988241,-4356.404466,,
35,10186866.6,10857162.42,0.0260428,0.000735908,0.000735908,-3948.886946,-3391.984309,,
36,10184000.02,10857162.42,0.0214971,0.000795577,0.000795577,-3948.886946,-3391.984309,,
37,10030324.62,10706368.5,0.0168859,0.000855245,0.000855245,-3948.886946,-3391.984309,,
38,11316617.07,12063513.8,0.0133096,0.000914913,0.000914913,-3948.886946,-3391.984309,,
39,9805655.126,10404780.65,0.01010665,0.00103425,0.00103425,-3948.886946,-3391.984309,,
40,8722862.071,9238383.219,0.00735565,0.001093918,0.001093918,-2900.20957,-2789.128589,,
41,9012619.36,9575006.808,0.0052662,0.001253033,0.001253033,-2900.20957,-2789.128589,,
42,8839147.757,9301435.185,0.0037597,0.00135248,0.00135248,-2900.20957,-2789.128589,,
43,8417189.956,8891077.75,0.00261345,0.001491706,0.001491706,-2900.20957,-2789.128589,,
44,9467492.408,9985364.242,0.0018471,0.001650821,0.001650821,-2900.20957,-2789.128589,,
45,9795603.805,10258935.87,0.00132965,0.001849716,0.001849716,-2190.552125,-2256.880575,,
46,10493733.14,10942864.92,0.00106695,0.002008831,0.002008831,-2190.552125,-2256.880575,,
47,10984711.44,11490008.17,0.0007925,0.002207725,0.002207725,-2190.552125,-2256.880575,,
48,11279681.46,11763579.79,0.00061975,0.002466287,0.002466287,-2190.552125,-2256.880575,,
49,11661976.46,12173937.23,0.00032665,0.00270496,0.00270496,-2190.552125,-2256.880575,,
50,12418079.34,12721080.47,0,0.003003302,0.003003302,-1589.818077,-1877.188252,,
51,11733259.98,12037151.42,0,0.003241975,0.003241975,-1589.818077,-1877.188252,,
52,12459432.39,12721080.47,0,0.003759099,0.003759099,-1589.818077,-1877.188252,,
53,10217929.7,10395721.68,0,0.004017662,0.004017662,-1589.818077,-1877.188252,,
54,11445397.74,11763579.79,0,0.004316003,0.004316003,-1589.818077,-1877.188252,,
55,11210844.63,11353222.36,0,0.004674012,0.004674012,-1022.439749,-1369.441857,,
56,10835592.56,10942864.92,0,0.00509169,0.00509169,-1022.439749,-1369.441857,,
57,12437505.35,12721080.47,0,0.00542981,0.00542981,-1022.439749,-1369.441857,,
58,9253317.931,9301435.185,0,0.006424281,0.006424281,-1022.439749,-1369.441857,,
59,5378581.166,5197860.838,0,0.006603286,0.006603286,-1022.439749,-1369.441857,,
60,5952648.334,5974077.868,0,0.007438641,0.007438641,-585.0907948,-722.3011149,,
61,5519687.424,5700733.172,0,0.008254107,0.008254107,-585.0907948,-722.3011149,,
62,7028902.41,7255233.068,0,0.008970126,0.008970126,-585.0907948,-722.3011149,,
63,7922892.421,8085311.716,0,0.010123712,0.010123712,-585.0907948,-722.3011149,,
64,7264933.333,7207540.36,0,0.011356856,0.011356856,-585.0907948,-722.3011149,,
65,7365467.753,7327167.321,0,0.012410995,0.012410995,-281.2474919,-335.1589748,,
66,7409550.7,7237649.124,0,0.014081706,0.014081706,-281.2474919,-335.1589748,,
67,6727019.089,6474755.873,0,0.015812085,0.015812085,-281.2474919,-335.1589748,,
68,6665314.04,6418697.421,0,0.018417598,0.018417598,-281.2474919,-335.1589748,,
69,5646024.174,5365416.772,0,0.020446318,0.020446318,-281.2474919,-335.1589748,,
70,5162417.331,4961599.297,0,0.023071721,0.023071721,-148.4039885,-188.2320347,,
