age,female_pop,male_pop,asfr,death_prob_female,death_prob_male,mig_female,mig_male,fertility_annual_factor,fertility_decline_years
0,4117551.569,4604246.165,0,0.002744739,0.002744739,-1320.489254,-1437.069637,0.99,5
1,4747658.089,5288416.345,0,0.00069613,0.00069613,-1320.489254,-1437.069637,,
2,4945477.802,5503327.698,0,0.000457457,0.000457457,-1320.489254,-1437.069637,,
3,5599759.646,6223572.87,0,0.00033812,0.00033812,-1320.489254,-1437.069637,,
4,5743065.197,6450036.523,0,0.000318231,0.000318231,-1320.489254,-1437.069637,,
5,5281186.845,5980944.102,0,0.000278452,0.000278452,-1771.991629,-1784.810525,,
6,5411198.756,6171472.181,0,0.000258562,0.000258562,-1771.991629,-1784.810525,,
7,5633131.332,6426839.537,0,0.000218784,0.000218784,-1771.991629,-1784.810525,,
8,5784951.477,6639967.306,0,0.000218784,0.000218784,-1771.991629,-1784.810525,,
9,5942872.379,6852726.14,0,0.000198894,0.000198894,-1771.991629,-1784.810525,,
10,6081885.694,7040999.068,0,0.000238673,0.000238673,-1388.028381,-1320.521394,,
11,6107454.162,7055941.794,0,0.000258562,0.000258562,-1388.028381,-1320.521394,,
12,6133557.81,7082419.203,0,0.000298341,0.000298341,-1388.028381,-1320.521394,,
13,6101978.108,7054496.891,0,0.000358009,0.000358009,-1388.028381,-1320.521394,,
14,6048928.463,7002239.589,0,0.000358009,0.000358009,-1388.028381,-1320.521394,,
15,6016007.645,7008648.906,0.0004716,0.000377899,0.000377899,-2174.329492,-1916.506728,,
16,6039910.301,7085418.774,0.0013362,0.000397788,0.000397788,-2174.329492,-1916.506728,,
17,6148577.471,7226423.101,0.00298025,0.000397788,0.000397788,-2174.329492,-1916.506728,,
18,6324900.213,7414048.029,0.0059081,0.000417678,0.000417678,-2174.329492,-1916.506728,,
19,6506629.295,7489130.318,0.0097464,0.000397788,0.000397788,-2174.329492,-1916.506728,,
20,6607470.662,7540445.519,0.0169645,0.000397788,0.000397788,-5641.503547,-4648.602832,,
21,7395665.982,8392601.756,0.0263834,0.000397788,0.000397788,-5641.503547,-4648.602832,,
22,8012740.136,9073626.93,0.0361298,0.000437567,0.000437567,-5641.503547,-4648.602832,,
23,8293396.323,9354951.053,0.0458631,0.000417678,0.000417678,-5641.503547,-4648.602832,,
24,8902525.275,9972608.813,0.05396545,0.000437567,0.000437567,-5641.503547,-4648.602832,,
25,8840605.065,9917390.762,0.06068575,0.000437567,0.000437567,-6092.012699,-4718.134454,,
26,9350433.555,10418253.07,0.066941,0.000437567,0.000437567,-6092.012699,-4718.134454,,
27,9790551.907,10836182.85,0.069168,0.000457457,0.000457457,-6092.012699,-4718.134454,,
28,10408541.61,11491029.94,0.06677725,0.000477346,0.000477346,-6092.012699,-4718.134454,,
29,11613535.22,12757468.44,0.06114425,0.000477346,0.000477346,-6092.012699,-4718.134454,,
30,12334400.36,13349521.51,0.05379515,0.000517125,0.000517125,-5484.988241,-4356.404466,,
31,13055618.41,13913372.54,0.0485617,0.000556904,0.000556904,-5484.988241,-4356.404466,,
32,12761551.89,13527245.01,0.0414877,0.000556904,0.000556904,-5484.988241,-4356.404466,,
33,14139928.46,14991152.15,0.0359202,0.000656351,0.000656351,-5484.988241,-4356.404466,,
34,13439778.31,14234069.21,0.03084395,0.00069613,0.00069613,-5484.988241,-4356.404466,,
35,11726597.03,12498207.11,0.0260428,0.000735908,0.000735908,-3948.886946,-3391.984309,,
36,11723297.17,12498207.11,0.0214971,0.000795577,0.000795577,-3948.886946,-3391.984309,,
37,11546393.95,12324620.9,0.0168859,0.000855245,0.000855245,-3948.886946,-3391.984309,,
38,13027107.68,13886896.79,0.0133096,0.000914913,0.000914913,-3948.886946,-3391.984309,,
39,11287765.98,11977448.48,0.01010665,0.00103425,0.00103425,-3948.886946,-3391.984309,,
40,10041310.29,10634751.73,0.00735565,0.001093918,0.001093918,-2900.20957,-2789.128589,,
41,10374863.98,11022255.5,0.0052662,0.001253033,0.001253033,-2900.20957,-2789.128589,,
42,10175172.39,10707333.91,0.0037597,0.00135248,0.00135248,-2900.20957,-2789.128589,,
43,9689436.27,10234951.53,0.00261345,0.001491706,0.001491706,-2900.20957,-2789.128589,,
44,10898490.45,11494637.87,0.0018471,0.001650821,0.001650821,-2900.20957,-2789.128589,,
45,11276195.42,11809559.46,0.00132965,0.001849716,0.001849716,-2190.552125,-2256.880575,,
46,12079846.01,12596863.42,0.00106695,0.002008831,0.002008831,-2190.552125,-2256.880575,,
47,12645034.99,13226706.59,0.0007925,0.002207725,0.002207725,-2190.552125,-2256.880575,,
48,12984589.3,13541628.18,0.00061975,0.002466287,0.002466287,-2190.552125,-2256.880575,,
